PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
dilution,,aft,process,Dilution is the process of adding a solvent to a solution to lower its concentration. [Allotrope],,,,mixing,http://purl.allotrope.org/ontologies/process#AFP_0000785
dilution composition,,aft,quality,A dilution composition is a composition quality of a dilution. [Allotrope],,,,composition,http://purl.allotrope.org/ontologies/quality#AFQ_0000224
dilution factor,,afo,result,A dilution factor is a ratio quantification facet that quantifies the ratio of the final volume to the original aliquot volume of a solution in a dilution process. [Allotrope],,,,ratio quantification facet,http://purl.allotrope.org/ontologies/result#AFR_0002758
dilution factor (quality),dilution factor; DF,aft,quality,Dilution factor is the ratio of the aliquot volume to the final volume. [Wikipedia],,https://en.wikipedia.org/wiki/Dilution_ratio,,dilution composition,http://purl.allotrope.org/ontologies/quality#AFQ_0000178
dilution factor setting,,afo,result,A dilution factor setting is a control setting specifying some dilution factor. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002498
dilution ratio,,aft,quality,The dilution ratio is the ratio of solute to solvent. [Wikipedia],,https://en.wikipedia.org/wiki/Dilution_ratio,,dilution composition,http://purl.allotrope.org/ontologies/quality#AFQ_0000177
dilution role,,aft,role,The role of a portion of material that participates in a dilution process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000298
dilution volume,,aft,result,A dilution volume is a volume of diluent used in a dilution. [Allotrope],,,,volume,http://purl.allotrope.org/ontologies/result#AFR_0002138
dimension,,datacube,datacube,A dimension is a component specification which serves to identify observations. [Allotrope],,,,,http://purl.allotrope.org/ontologies/datacube#Dimension
dimension,,schema/dimension,"","A dimension is a relationship between a quantity system, a quantity kind of that system, and one or more dimension vectors. There is one dimension vector for each of the system's base quantity kinds. The vector's magnitude determines the exponent of the base dimension for the referenced quantity kind.",,,,enumerated value,http://qudt.org/schema/qudt#Dimension
dimension identifier,,afo,result,A dimension identifier is an identifier that identifies some dimension. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003003
dimension mapping,,datacube-hdf-mapping,datacube-hdf-map,A dimension mapping is a component mapping which maps a dimension component. [Allotrope],,,,component mapping,http://purl.allotrope.org/ontologies/datacube-hdf-map#DimensionMapping
dimension selection,,datacube,datacube,A dimension selection is a component selection on a dimension of a data cube. [Allotrope],,,,component selection,http://purl.allotrope.org/ontologies/datacube#DimensionSelection
dimension type,,afo,result,A dimension type is a classification datum that classifies a dimension as directly or indirectly measured. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003002
dimension vector,,schema/dimension,"","A dimension vector is an association between a quantity kind and a rational number. The quantity kind serves as the basis vector in an abstract vector space, and the rational number is the vector magnitude. The abstract vector space is determined by the chosen set of base quantity kinds for a quantity system.",,,,,http://qudt.org/schema/qudt#DimensionVector
dinitrogen (molecule),,molecular-scale,"",An elemental molecule consisting of two trivalently-bonded nitrogen atoms. [CHEBI],,,,molecule,http://purl.obolibrary.org/obo/CHEBI_17997
diode,,aft,equipment,"In electronics, a diode is a two-terminal electronic component that conducts primarily in one direction (asymmetric conductance). [Wikipedia]",,,,device,http://purl.allotrope.org/ontologies/equipment#AFE_0001860
diode array detector,photodiode array detector; PDAD; PDA; DAD,uv,equipment,"A piece of apparatus, consisting of a two-dimensional pattern of diodes and a prism, that is used to detect organic compounds. As the sample passes through a cell or cuvette it is illuminated with light in the region 190-1100 nm and any light transmitted through the sample is dispersed by the prism, so that light of different wavelengths falls on different diodes. The output from the array is used to construct an absorption spectrum that can be compared with standard spectra for identification purposes. Alternatively, a single diode can be used to monitor a specific wavelength at which there is maximum absorption. [CHMO]",,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0000090
diode array detector method,DAD method,uv,result,A diode array detector method is a device method specifies how a detection is executed on a diode array detector. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001651
diode array detector process,DAD process,uv,process,A process executed by a diode array detector. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003674
dioxygen (molecule),,molecular-scale,"",An elemental molecule consisting of two bivalently-bonded oxygen atoms. [Allotrope],,,,molecule,http://purl.obolibrary.org/obo/CHEBI_15379
direct injector,,chromatography,equipment,A device which directly introduces the sample into the mobile-phase stream. [IUPAC],,"L.S. Ettre, ""Nomenclature for Chromatography"", Pure & Appl. Chem. 1993, Vol. 65, No. 4, pp. 819-872",,,http://purl.allotrope.org/ontologies/equipment#AFE_0001798
direction role,,aft,role,A direction role is a contextual role of some information content entity indicating a direction in a relation. [Allotrope],,,,contextual role,http://purl.allotrope.org/ontologies/role#AFRL_0000463
directive purpose,specified datum; directive role; specification; specified value; specification role; specification datum; directive,aft,role,A directive purpose or specification role is a type of contextual role of information content entities that are about an entity with a purpose to give directions. [Allotrope],,,,contextual role,http://purl.allotrope.org/ontologies/role#AFRL_0000064
disconnected state,,aft,process,"A state s with participating materials m1 and m2, and m1 is not connected to m2. [Allotrope]",,,,mereotopological state,http://purl.allotrope.org/ontologies/process#AFP_0003456
disconnecting,,aft,process,Disconnecting is a branching process that removes the connection between parts of a flow so that they become topologically separate. [Allotrope],,,,branching,http://purl.allotrope.org/ontologies/process#AFP_0003808
disconnecting device,,aft,equipment,A disconnecting device is a device that is designed to disconnect objects. [Allotrope],,,,device,http://purl.allotrope.org/ontologies/equipment#AFE_0002263
disintegrated state,disintegrated,aft,process,"Disintegrated state is a state of an object when its has turned into an aggregate of small, separated pieces. [Allotrope]",,,,disconnected state,http://purl.allotrope.org/ontologies/process#AFP_0003806
disintegrating,disintegration,aft,process,"Disintegrating is a break a material into small, separate parts. [Allotrope]",,,,converting material,http://purl.allotrope.org/ontologies/process#AFP_0003807
disintegration apparatus,disintegration device,disintegration,equipment,A disintegration apparatus is a measurement device that measures the time it takes for an object to become disintegrated. The apparatus has a disintegration device component to support the disintegration. [Allotrope],,,,,http://purl.allotrope.org/ontologies/equipment#AFE_0002257
